thread_id,v_rel_smoothed,initial_chi,final_chi,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,pre_age_a,pre_age_b,chi_max,duration,theta,stability_bin,pre_E_total,post_E_total
0,-0.000012,0.400000,0.400000,30.842049,0.000000,2337.880000,300.000000,31.894107,36.020923,15.947054,18.010462,230,130,0.444444,28.000000,0.000000,15.000000,0.863794,0.000000
0,-0.000012,0.400000,0.400000,112.686838,0.000000,3296.750000,300.000000,35.855653,36.020923,17.927826,18.010462,240,190,0.444444,26.000000,0.000000,15.000000,4.580329,0.000000
0,-0.000012,0.400000,0.400000,30.842049,0.000000,2337.880000,300.000000,31.894107,36.020923,15.947054,18.010462,230,170,0.444444,28.000000,0.000000,15.000000,0.863794,0.000000
0,-0.000012,0.400000,0.400000,112.686838,0.000000,3296.750000,300.000000,35.855653,36.020923,17.927826,18.010462,240,150,0.444444,26.000000,0.000000,15.000000,4.580329,0.000000
0,0.000000,1.000000,1.000000,1.178339,0.000000,166.666667,0.000000,31.347569,0.000000,15.673785,0.000000,220,210,1.000000,29.000000,0.000000,15.000000,0.633722,0.000000
0,-0.002174,0.200000,0.076923,0.000000,15.399846,195.913333,977.223140,65.725559,58.715908,32.862780,29.357954,10,10,0.230769,31.000000,0.000000,30.000000,1.314511,1.302265
0,-0.002174,0.200000,0.076923,44.439923,15.399846,470.244444,977.223140,63.977223,58.715908,31.988612,29.357954,580,40,0.230769,28.000000,0.000000,30.000000,3.620732,1.302265
0,-0.002174,0.200000,0.076923,0.356169,15.399846,363.044444,977.223140,66.337027,58.715908,33.168514,29.357954,80,10,0.230769,24.000000,0.000000,30.000000,1.327883,1.302265
0,-0.004053,0.900000,0.076923,0.341534,15.399846,68.324444,977.223140,53.203527,58.715908,26.601764,29.357954,1050,10,0.900000,31.000000,0.000000,25.000000,1.068627,1.302265
0,-0.002174,0.200000,0.076923,44.439923,15.399846,470.244444,977.223140,63.977223,58.715908,31.988612,29.357954,540,40,0.230769,28.000000,0.000000,30.000000,3.620732,1.302265
0,0.000253,0.411765,0.694444,11.938159,2.304762,446.419753,484.000000,62.694341,35.281517,31.347171,17.640759,610,540,0.724138,53.000000,0.000000,30.000000,1.461246,0.000000
0,-0.001000,0.125000,0.062500,4.275923,4.950584,747.159297,900.000000,63.967780,19.928043,31.983890,9.964021,900,360,0.125000,17.000000,0.000000,30.000000,1.291605,0.000000
0,-0.000125,0.206897,0.090909,1.478749,2.219264,282.092778,445.979592,81.279185,30.134190,40.639593,15.067095,140,10,0.206897,32.000000,0.000000,40.000000,1.630154,0.000000
0,-0.000125,0.206897,0.090909,1.478749,2.219264,282.092778,445.979592,81.279185,30.134190,40.639593,15.067095,750,10,0.206897,32.000000,0.000000,40.000000,1.630154,0.000000
0,-0.000125,0.206897,0.090909,1.478749,2.219264,282.092778,445.979592,81.279185,30.134190,40.639593,15.067095,710,10,0.206897,32.000000,0.000000,40.000000,1.630154,0.000000
0,0.000014,0.277778,1.000000,9.195258,0.000000,455.555556,0.000000,59.118851,0.000000,29.559425,0.000000,940,400,1.000000,63.000000,0.000000,25.000000,1.279173,0.000000
0,0.000253,0.411765,0.694444,11.938159,2.304762,446.419753,484.000000,62.694341,35.281517,31.347171,17.640759,610,500,0.724138,53.000000,0.000000,30.000000,1.461246,0.000000
0,0.000000,1.000000,1.000000,3.178401,0.000000,363.075556,0.000000,73.155306,0.000000,36.577653,0.000000,620,10,1.000000,45.000000,0.000000,35.000000,1.554026,0.000000
0,-0.001000,0.125000,0.062500,4.275923,4.950584,747.159297,900.000000,63.967780,19.928043,31.983890,9.964021,1400,360,0.125000,17.000000,0.000000,30.000000,1.291605,0.000000
0,-0.001000,0.125000,0.062500,4.275923,4.950584,747.159297,900.000000,63.967780,19.928043,31.983890,9.964021,860,360,0.125000,17.000000,0.000000,30.000000,1.291605,0.000000
0,0.000014,0.277778,1.000000,9.195258,0.000000,455.555556,0.000000,59.118851,0.000000,29.559425,0.000000,940,440,1.000000,63.000000,0.000000,25.000000,1.279173,0.000000
0,-0.001000,0.125000,0.062500,4.275923,4.950584,747.159297,900.000000,63.967780,19.928043,31.983890,9.964021,360,360,0.125000,17.000000,0.000000,30.000000,1.291605,0.000000
0,0.000013,0.500000,1.000000,0.341534,0.000000,153.188889,0.000000,67.138303,0.000000,33.569152,0.000000,1050,10,1.000000,52.000000,0.000000,30.000000,1.347323,0.000000
0,0.000262,0.500000,0.694444,8.908696,2.304762,837.000000,484.000000,38.054248,35.281517,19.027124,17.640759,610,180,0.733333,96.000000,0.000000,15.000000,0.808578,0.000000
0,0.000253,0.444444,0.694444,1.484621,2.304762,499.520000,484.000000,63.862725,35.281517,31.931362,17.640759,690,10,0.724138,45.000000,0.000000,30.000000,1.282994,0.000000
0,-0.001000,0.125000,0.062500,4.275923,4.950584,747.159297,900.000000,63.967780,19.928043,31.983890,9.964021,360,290,0.125000,17.000000,0.000000,30.000000,1.291605,0.000000
0,0.000000,1.000000,1.000000,1.164319,0.000000,156.388889,0.000000,72.790853,0.000000,36.395426,0.000000,550,10,1.000000,52.000000,0.000000,35.000000,1.498181,0.000000
0,0.000012,0.500000,1.000000,0.077867,0.000000,320.320000,0.000000,70.535492,0.000000,35.267746,0.000000,1120,10,1.000000,45.000000,0.000000,35.000000,1.410947,0.000000
0,0.000000,1.000000,1.000000,3.178401,0.000000,363.075556,0.000000,73.155306,0.000000,36.577653,0.000000,80,10,1.000000,45.000000,0.000000,35.000000,1.554026,0.000000
0,-0.000125,0.206897,0.090909,1.478749,2.219264,282.092778,445.979592,81.279185,30.134190,40.639593,15.067095,210,10,0.206897,32.000000,0.000000,40.000000,1.630154,0.000000
0,-0.000125,0.206897,0.090909,1.478749,2.219264,282.092778,445.979592,81.279185,30.134190,40.639593,15.067095,1250,10,0.206897,32.000000,0.000000,40.000000,1.630154,0.000000
0,0.000000,1.000000,1.000000,127.826087,0.000000,1800.000000,0.000000,27.339286,0.000000,13.669643,0.000000,150,110,1.000000,92.000000,0.000000,10.000000,7.164541,0.000000
0,0.000000,1.000000,1.000000,3.178401,0.000000,363.075556,0.000000,73.155306,0.000000,36.577653,0.000000,580,10,1.000000,45.000000,0.000000,35.000000,1.554026,0.000000
0,0.000253,0.411765,0.694444,1.083070,2.304762,269.695011,484.000000,63.992003,35.281517,31.996001,17.640759,620,10,0.724138,52.000000,0.000000,30.000000,1.284376,0.000000
0,0.000000,1.000000,1.000000,1.164319,0.000000,156.388889,0.000000,72.790853,0.000000,36.395426,0.000000,510,10,1.000000,52.000000,0.000000,35.000000,1.498181,0.000000
